prime,roman,len
2417,MMCDXVII,8
2423,MMCDXXIII,9
2437,MMCDXXXVII,10
2441,MMCDXLI,7
2447,MMCDXLVII,9
2459,MMCDLIX,7
2467,MMCDLXVII,9
2473,MMCDLXXIII,10
2477,MMCDLXXVII,10
2503,MMDIII,6
2521,MMDXXI,6
2531,MMDXXXI,7
2539,MMDXXXIX,8
2543,MMDXLIII,8
2549,MMDXLIX,7
2551,MMDLI,5
2557,MMDLVII,7
2579,MMDLXXIX,8
2591,MMDXCI,6
2593,MMDXCIII,8
2609,MMDCIX,6
2617,MMDCXVII,8
2621,MMDCXXI,7
2633,MMDCXXXIII,10
2647,MMDCXLVII,9
2657,MMDCLVII,8
2659,MMDCLIX,7
2663,MMDCLXIII,9
2671,MMDCLXXI,8
2677,MMDCLXXVII,10
2683,MMDCLXXXIII,11
2687,MMDCLXXXVII,11
2689,MMDCLXXXIX,10
2693,MMDCXCIII,9
2699,MMDCXCIX,8
2707,MMDCCVII,8
2711,MMDCCXI,7
2713,MMDCCXIII,9
2719,MMDCCXIX,8
2729,MMDCCXXIX,9
2731,MMDCCXXXI,9
2741,MMDCCXLI,8
2749,MMDCCXLIX,9
2753,MMDCCLIII,9
2767,MMDCCLXVII,10
2777,MMDCCLXXVII,11
2789,MMDCCLXXXIX,11
2791,MMDCCXCI,8
2797,MMDCCXCVII,10
2801,MMDCCCI,7
2803,MMDCCCIII,9
2819,MMDCCCXIX,9
2833,MMDCCCXXXIII,12
2837,MMDCCCXXXVII,12
2843,MMDCCCXLIII,11
2851,MMDCCCLI,8
2857,MMDCCCLVII,10
2861,MMDCCCLXI,9
2879,MMDCCCLXXIX,11
2887,MMDCCCLXXXVII,13
2897,MMDCCCXCVII,11
2903,MMCMIII,7
2909,MMCMIX,6
2917,MMCMXVII,8
2927,MMCMXXVII,9
2939,MMCMXXXIX,9
2953,MMCMLIII,8
2957,MMCMLVII,8
2963,MMCMLXIII,9
2969,MMCMLXIX,8
2971,MMCMLXXI,8
2999,MMCMXCIX,8
3001,MMMI,4
3011,MMMXI,5
3019,MMMXIX,6
3023,MMMXXIII,8
3037,MMMXXXVII,9
3041,MMMXLI,6
3049,MMMXLIX,7
3061,MMMLXI,6
3067,MMMLXVII,8
3079,MMMLXXIX,8
3083,MMMLXXXIII,10
3089,MMMLXXXIX,9
3109,MMMCIX,6
3119,MMMCXIX,7
3121,MMMCXXI,7
3137,MMMCXXXVII,10
3163,MMMCLXIII,9
3167,MMMCLXVII,9
3169,MMMCLXIX,8
3181,MMMCLXXXI,9
3187,MMMCLXXXVII,11
3191,MMMCXCI,7
3203,MMMCCIII,8
3209,MMMCCIX,7
3217,MMMCCXVII,9
3221,MMMCCXXI,8
3229,MMMCCXXIX,9
3251,MMMCCLI,7
3253,MMMCCLIII,9
3257,MMMCCLVII,9
3259,MMMCCLIX,8
3271,MMMCCLXXI,9
3299,MMMCCXCIX,9
3301,MMMCCCI,7
3307,MMMCCCVII,9
3313,MMMCCCXIII,10
3319,MMMCCCXIX,9
3323,MMMCCCXXIII,11
3329,MMMCCCXXIX,10
3331,MMMCCCXXXI,10
3343,MMMCCCXLIII,11
3347,MMMCCCXLVII,11
3359,MMMCCCLIX,9
3361,MMMCCCLXI,9
3371,MMMCCCLXXI,10
3373,MMMCCCLXXIII,12
3389,MMMCCCLXXXIX,12
3391,MMMCCCXCI,9
3407,MMMCDVII,8
3413,MMMCDXIII,9
3433,MMMCDXXXIII,11
3449,MMMCDXLIX,9
3457,MMMCDLVII,9
3461,MMMCDLXI,8
3463,MMMCDLXIII,10
3467,MMMCDLXVII,10
3469,MMMCDLXIX,9
3491,MMMCDXCI,8
3499,MMMCDXCIX,9
3511,MMMDXI,6
3517,MMMDXVII,8
3527,MMMDXXVII,9
3529,MMMDXXIX,8
3533,MMMDXXXIII,10
3539,MMMDXXXIX,9
3541,MMMDXLI,7
3547,MMMDXLVII,9
3557,MMMDLVII,8
3559,MMMDLIX,7
3571,MMMDLXXI,8
3581,MMMDLXXXI,9
3583,MMMDLXXXIII,11
3593,MMMDXCIII,9
3607,MMMDCVII,8
3613,MMMDCXIII,9
3617,MMMDCXVII,9
3623,MMMDCXXIII,10
3631,MMMDCXXXI,9
3637,MMMDCXXXVII,11
3643,MMMDCXLIII,10
3659,MMMDCLIX,8
3671,MMMDCLXXI,9
3673,MMMDCLXXIII,11
3677,MMMDCLXXVII,11
3691,MMMDCXCI,8
3697,MMMDCXCVII,10
